Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],A-AtomicNumber,A-AtomicMass,A-NumberofNeutrons,A-NumberofProtons,A-NumberofElectrons,A-Period,A-Group,A-AtomicRadius,A-Electronegativity,A-FirstIonization,A-Density,A-MeltingPoint,A-BoilingPoint,A-NumberOfIsotopes,A-SpecificHeat,A-NumberofShells,B-AtomicNumber,B-AtomicMass,B-NumberofNeutrons,B-NumberofProtons,B-NumberofElectrons,B-Period,B-Group,B-Electronegativity,B-FirstIonization,B-Density,B-MeltingPoint,B-BoilingPoint,B-NumberOfIsotopes,B-SpecificHeat,B-NumberofShells,Vacancy energy [eV/O atom]
Ac2O3,Ac,Ac,FALSE,element not in BV,element not in BV,1.12,1.12,cubic,-2.732,0.848,0,20.836,0.332,4.705,4.705,4.705,90,90,90,89,227,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,0.12,7,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,3.15
AgAcO3,Ag,Ac,FALSE,element not in BV,element not in BV,1.28,1.12,orthorhombic,-1.674,0.283,0,15.943,0,6.008,6.225,8.526,90,90,90,47,107.868,61,47,47,5,11,1.8,1.93,7.5762,10.5,1234.15,2435,27,0.235,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-1.294
AlAcO3,Al,Ac,FALSE,element not in BV,element not in BV,0.54,1.12,orthorhombic,-3.304,0.228,0,14.825,3.118,5.553,5.62,9.501,90,90,90,13,26.982,14,13,13,3,13,1.8,1.61,5.9858,2.7,933.4,2792,8,0.897,3,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-5.958
AsAcO3,As,Ac,FALSE,element not in BV,element not in BV,0.52,1.12,orthorhombic,-2.622,-0.109,0,16.601,2.97,5.879,6.527,8.653,90,90,90,33,74.922,42,33,33,4,15,1.3,2.18,9.7886,5.78,1090.15,887,14,0.329,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-2.465
AuAcO3,Au,Ac,FALSE,element not in BV,element not in BV,0.93,1.12,orthorhombic,-1.695,0.31,0,16.429,0,6.075,6.367,8.495,90,90,90,79,196.967,118,79,79,6,11,1.8,2.54,9.2255,19.3,1337.73,3129,21,0.129,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-3.47
BAcO3,B,Ac,FALSE,element not in BV,element not in BV,0.27,1.12,cubic,-0.416,2.685,0,18.084,0,4.488,4.488,4.488,90,90,90,5,10.811,6,5,5,2,13,1.2,2.04,8.298,2.34,2573.15,4200,6,1.026,2,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-1.498
BaAcO3,Ba,Ac,FALSE,element not in BV,element not in BV,1.61,1.12,orthorhombic,-2.857,0.106,0.2,19.583,0,6.449,6.603,9.198,90,90,90,56,137.327,81,56,56,6,2,2.8,0.89,5.2117,3.59,1002.15,2170,25,0.204,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,0.61
BeAcO3,Be,Ac,FALSE,element not in BV,element not in BV,0.45,1.12,rhombohedral,-2.764,0.213,0.2,14.664,0,6.294,6.294,6.294,52.8,52.8,52.8,4,9.012,5,4,4,2,2,1.4,1.57,9.3227,1.85,1560.15,2742,6,1.825,2,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-5.221
BiAcO3,Bi,Ac,FALSE,element not in BV,element not in BV,1.38,1.12,cubic,-1.489,1.038,0.004,20.176,0,4.655,4.655,4.655,90,90,90,83,208.98,126,83,83,6,15,1.6,2.02,7.2856,9.81,544.67,1837,19,0.122,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.652
CaAcO3,Ca,Ac,FALSE,element not in BV,element not in BV,1.34,1.12,cubic,-2.373,0.708,0.084,19.615,0,4.612,4.612,4.612,90,90,90,20,40.078,20,20,20,4,2,2.2,1,6.1132,1.54,1112.15,1757,14,0.647,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.53
CdAcO3,Cd,Ac,FALSE,element not in BV,element not in BV,1.31,1.12,orthorhombic,-2.106,0.179,0.2,16.436,0,6.085,6.169,8.756,90,90,90,48,112.411,64,48,48,5,12,1.7,1.69,8.9938,8.69,594.33,1040,22,0.232,5,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-2.851
CeAcO3,Ce,Ac,FALSE,element not in BV,element not in BV,1.24,1.12,cubic,-2.462,1.088,0,20.385,0,4.671,4.671,4.671,90,90,90,58,140.116,82,58,58,6,,2.7,1.12,5.5387,6.77,1071.15,3716,19,0.192,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,1.916
CoAcO3,Co,Ac,FALSE,element not in BV,element not in BV,0.9,1.12,rhombohedral,-2.379,0.047,0.8,16.496,1.665,6.399,6.399,6.399,55.3,55.3,55.3,27,58.933,32,27,27,4,9,1.7,1.88,7.881,8.86,1768.15,3200,14,0.421,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-
CrAcO3,Cr,Ac,FALSE,element not in BV,element not in BV,0.57,1.12,rhombohedral,-2.79,0.348,0.6,16.754,1.802,6.388,6.388,6.388,56.1,56.1,56.1,24,51.996,28,24,24,4,6,1.9,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-4.273
CsAcO3,Cs,Ac,FALSE,element not in BV,element not in BV,1.88,1.12,cubic,-2.055,0.299,0,19.906,0,4.634,4.634,4.634,90,90,90,55,132.905,78,55,55,6,1,3.3,0.79,3.8939,1.87,301.7,944,22,0.242,6,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-0.399
CuAcO3,Cu,Ac,FALSE,element not in BV,element not in BV,0.68,1.12,rhombohedral,-2.023,0.218,0.401,16.494,0.297,6.531,6.531,6.531,53.1,53.1,53.1,29,63.546,35,29,29,4,11,1.6,1.9,7.7264,8.96,1357.75,2835,11,0.385,4,89,227,138,89,89,7,3,1.1,5.17,10.1,1323.15,3471,11,0.12,7,-2.485
