Chemical formula,Radius A [ang],Elec. Negativity A,Mass A,Radius B [ang],Elec. Negativity B,Mass B,Vacancy energy [eV/O atom]
AcCoO3,1.12,1.1,227.028,0.63,1.88,58.9332,3.33
AlCoO3,0.54,1.61,26.981539,0.61,1.88,58.9332,-1.991
AsCoO3,0.58,2.18,74.92159,0.61,1.88,58.9332,0.089
AuCoO3,0.93,2.54,196.96654,0.63,1.88,58.9332,-2.143
BCoO3,0.27,2.04,10.811,0.53,1.88,58.9332,-2.534
BaCoO3,1.61,0.89,137.327,0.53,1.88,58.9332,0.663
BeCoO3,0.45,1.57,9.012182,0.53,1.88,58.9332,-2.203
BiCoO3,1.38,2.02,208.98037,0.61,1.88,58.9332,2.897
CaCoO3,1.34,1,40.078,0.53,1.88,58.9332,0.72
CdCoO3,1.31,1.69,112.411,0.53,1.88,58.9332,-0.458
CeCoO3,1.34,1.12,140.115,0.61,1.88,58.9332,3.21
CrCoO3,0.8,1.66,51.9961,0.53,1.88,58.9332,-1.758
CuCoO3,0.73,1.9,63.546,0.53,1.88,58.9332,-1.005
ErCoO3,1.06,1.24,167.259,0.61,1.88,58.9332,2.225
EuCoO3,1.48,1.2,151.965,0.53,1.88,58.9332,1.59
FeCoO3,0.92,1.83,55.845,0.53,1.88,58.9332,-1.547
GaCoO3,0.62,1.81,69.723,0.63,1.88,58.9332,-11.419
GeCoO3,0.73,2.01,72.61,0.53,1.88,58.9332,0.905
HfCoO3,0.83,1.3,178.49,0.75,1.88,58.9332,0.8
HgCoO3,1.14,2,200.59,0.53,1.88,58.9332,-1.207
HoCoO3,1.12,1.23,164.93032,0.61,1.88,58.9332,2.32
InCoO3,0.92,1.78,114.818,0.61,1.88,58.9332,0.504
IrCoO3,0.68,2.2,192.22,0.61,1.88,58.9332,-5.721
KCoO3,1.64,0.82,39.0983,0.63,1.88,58.9332,-2.955
LaCoO3,1.36,1.1,138.9055,0.61,1.88,58.9332,2.964
LiCoO3,0.92,0.98,6.941,0.63,1.88,58.9332,0.263
LuCoO3,1.03,1.27,174.967,0.61,1.88,58.9332,1.89
MnCoO3,0.96,1.55,54.93805,0.53,1.88,58.9332,-0.239
MoCoO3,0.69,2.16,95.94,0.61,1.88,58.9332,-0.95
NaCoO3,1.39,0.93,22.989768,0.63,1.88,58.9332,0.679
NbCoO3,0.72,1.6,92.90638,0.61,1.88,58.9332,0.373
NdCoO3,1.27,1.14,144.24,0.61,1.88,58.9332,3.124
NpCoO3,0.98,1.36,237.048,0.63,1.88,58.9332,2.922
OsCoO3,0.57,2.2,190.2,0.63,1.88,58.9332,-2.69
PbCoO3,1.49,1.87,207.2,0.53,1.88,58.9332,0.756
PdCoO3,0.86,2.2,106.42,0.53,1.88,58.9332,-0.712
PmCoO3,1.14,1.13,145,0.63,1.88,58.9332,2.99
PtCoO3,0.67,2.28,195.08,0.63,1.88,58.9332,-4.105
RbCoO3,1.72,0.82,85.4678,0.63,1.88,58.9332,0.199
ReCoO3,0.58,1.9,186.207,0.75,1.88,58.9332,-5.095
RhCoO3,0.67,2.28,102.9055,0.61,1.88,58.9332,-0.711
RuCoO3,0.68,2.2,101.07,0.53,1.88,58.9332,-2.148
SbCoO3,0.76,2.05,121.757,0.61,1.88,58.9332,2.075
ScCoO3,0.87,1.36,44.95591,0.61,1.88,58.9332,1.089
SiCoO3,0.4,1.9,28.0855,0.53,1.88,58.9332,-1.423
SmCoO3,1.24,1.17,150.36,0.61,1.88,58.9332,2.931
SrCoO3,1.44,0.95,87.62,0.53,1.88,58.9332,0.687
TaCoO3,0.74,1.5,180.9479,0.53,1.88,58.9332,-0.411
TbCoO3,1.1,1.1,158.92534,0.61,1.88,58.9332,2.511
TcCoO3,0.6,1.9,98,0.63,1.88,58.9332,-1.797
TeCoO3,0.97,2.1,127.6,0.53,1.88,58.9332,1.913
ThCoO3,1.21,1.3,232.0381,0.75,1.88,58.9332,3.147
TiCoO3,0.86,1.54,47.88,0.53,1.88,58.9332,0.232
TlCoO3,0.98,1.62,204.3833,0.61,1.88,58.9332,-0.542
TmCoO3,1.05,1.25,168.93421,0.61,1.88,58.9332,2.096
VCoO3,0.79,1.63,50.9415,0.53,1.88,58.9332,-1.853
WCoO3,0.66,2.36,183.85,0.61,1.88,58.9332,-2.7
ZnCoO3,0.9,1.65,65.39,0.53,1.88,58.9332,-1.336
ZrCoO3,0.89,1.33,91.224,0.61,1.88,58.9332,1.235
AcFeO3,1.12,1.1,227.028,0.67,1.83,55.845,4.135
